"","tournament","country","penalties_D1","regulation_D1","extra_time_D1","shootout_D1","penalties_D2","regulation_D2","extra_time_D2","shootout_D2","penalties_D3","regulation_D3","extra_time_D3","shootout_D3"
"cups/isp-mjolkurbikarinn","Icelandic Men's Football Cup","Iceland","191","83","7","101","101","0","0","101","190","82","7","101"
"cups/fapo-logmanssteypid","Faroe Islands Cup","Faroe Islands","181","47","1","133","181","47","1","133","181","47","1","133"
"nat_teams/int-wm","FIFA World Cup Final",NA,"181","63","2","116","181","63","2","116","142","63","2","77"
"cups/irpo-fai-cup","FAI Cup","Ireland","179","96","3","80","168","85","3","80","135","90","3","42"
"cups/kazp-kubok-kazakhstana","Kazakhstan Cup","Kazakhstan","172","55","1","116","172","55","1","116","172","55","1","116"
"leagues/smr1-campionato-sammarinese","Sammarinese Football Championship","San Marino","172","172","0","0","77","77","0","0","77","77","0","0"
"cups/malc-maltese-fa-trophy","FA Trophy","Malta","162","137","6","19","19","0","0","19","162","137","6","19"
"nat_teams/int-nations-league","Nations League",NA,"160","135","1","24","159","134","1","24","159","134","1","24"
"cups/kop1-kupa-e-kosoves","Kosovar Cup","Kosovo","157","47","1","109","157","47","1","109","120","46","1","73"
"leagues/mo1n-super-liga","Super Liga","Moldova","154","154","0","0","146","146","0","0","146","146","0","0"
"cups/slp-pokal-slovenije","Slovenian Football Cup","Slovenia","149","34","4","111","147","33","3","111","147","33","3","111"
"cups/albp-kupa-e-shqiperise","Albanian Cup","Albania","137","77","3","57","57","0","0","57","57","0","0","57"
"leagues/and1-primera-divisio"," Primera Divisió","Andorra","128","128","0","0","127","127","0","0","127","127","0","0"
"nat_teams/int-em","European Championship",NA,"127","33","1","93","109","16","0","93","109","16","0","93"
"cups/arpo-armenian-independence-cup","Armenian Cup","Armenia","125","38","1","86","124","37","1","86","108","37","1","70"
"cups/girc-rock-cup","Rock Cup","Gibraltar","118","23","1","94","116","22","0","94","116","22","0","94"
"leagues/gi1-gibraltar-football-league","Gibraltar Football League","Gibraltar","104","104","0","0","76","76","0","0","0","0","0","0"
"cups/cpo1-kypello-kyprou","Cypriot Cup","Cyprus","84","41","0","43","84","41","0","43","84","41","0","43"
"int_cups/ucol-uefa-europa-conference-league","Conference League",NA,"80","42","0","38","80","42","0","38","51","42","0","9"
