"","Goal","Missed","Save","penalties","minute"
"85",81.4873417721519,4.64135021097046,13.8713080168776,365,"85"
"86",82.4317086234601,4.23138725227638,13.3369041242635,387,"86"
"87",82.1615949632739,4.40713536201469,13.4312696747114,382,"87"
"88",81.6932580692222,4.53485920253341,13.7718827282444,355,"88"
"89",81.2686847440989,4.77665982115082,13.9546554347503,417,"89"
"90",81.2047973173818,5.29496261237742,13.5002400702408,396.010324738458,"90"
"91",80.5720035429011,5.62127095851617,13.8067254985828,423.597935052308,"90_1"
"92",80.151153540175,5.76770087509944,14.0811455847255,423.597935052308,"90_2"
"93",80.151153540175,5.76770087509944,14.0811455847255,423.597935052308,"90_3"
"94",NA,NA,NA,423.597935052308,"90_4"
"95",NA,NA,NA,423.597935052308,"90_5"
"911",NA,NA,NA,53.7648083623693,"91"
"921",NA,NA,NA,26.8824041811847,"92"
"931",89.4736842105263,5.26315789473684,5.26315789473684,295.706445993031,"93"
"941",90.4761904761905,4.76190476190476,4.76190476190476,349.471254355401,"94"
"951",91.304347826087,4.34782608695652,4.34782608695652,295.706445993031,"95"
"96",88.6363636363636,6.81818181818182,4.54545454545455,161.294425087108,"96"
"97",88.6363636363636,6.81818181818182,4.54545454545455,134.412020905923,"97"
"98",89.4736842105263,7.89473684210526,2.63157894736842,241.941637630662,"98"
"99",85.3658536585366,9.75609756097561,4.8780487804878,349.471254355401,"99"
"100",83.3333333333333,10.4166666666667,6.25,134.412020905923,"100"
"101",87.5,6.25,6.25,241.941637630662,"101"
"102",90.9090909090909,4.54545454545455,4.54545454545455,322.588850174216,"102"
"103",87.012987012987,3.8961038961039,9.09090909090909,241.941637630662,"103"
"104",NA,NA,NA,241.941637630662,"104"
"105",NA,NA,NA,235.994587475675,"105"
"106",NA,NA,NA,80.647212543554,"106"
"107",NA,NA,NA,134.412020905923,"107"
"108",78.7878787878788,12.1212121212121,9.09090909090909,241.941637630662,"108"
"109",81.8181818181818,9.09090909090909,9.09090909090909,268.824041811847,"109"
"110",84.7826086956522,6.52173913043478,8.69565217391304,161.294425087108,"110"
"111",88.8888888888889,2.22222222222222,8.88888888888889,376.353658536585,"111"
"112",95,0,5,188.176829268293,"112"
"113",94.8717948717949,0,5.12820512820513,215.059233449477,"113"
"114",94.1176470588235,0,5.88235294117647,134.412020905923,"114"
"115",92.1052631578947,0,7.89473684210526,134.412020905923,"115"
"116",90.2439024390244,0,9.75609756097561,241.941637630662,"116"
"117",88.6792452830189,0,11.3207547169811,295.706445993031,"117"
"118",88.75,0,11.25,295.706445993031,"118"
"119",NA,NA,NA,457.000871080139,"119"
"120",NA,NA,NA,569.28727949696,"120"
